,abstract_no,sentence
0,1,Sjogren's syndrome (SS) is the 2nd most common chronic autoimmune rheumatic disease and associated with a high burden of illness.
1,1,Morbidity arises not only from untreated xerostomia and keratoconjunctivitis sicca but also from extra-glandular manifestations including the development of non-Hodgkin's B cell lymphomas.
2,1,Proper diagnosis of SS requires objective evidence of dry eyes and/or objective evidence of dry mouth as well as proof of autoimmunity.
3,1,The recent development of new international classification criteria and clinical practice guidelines for SS should not only enhance the existing standards of care but also facilitate further studies to improve future diagnosis and outcomes.
4,2,Sjogren's syndrome (SS) is an autoimmune disease affecting the lacrimal glands resulting in dry eye disease (DED).
5,2,Ophthalmologists may be the first line of detection of Sjogren's syndrome given the frequency of DED in SS and that dry eye is often the presenting symptom.
6,2,"Numerous symptom questionnaires and tests have been developed to help diagnose DED, but as of yet, there is no ""gold standard."""
7,2,Minimally invasive objective metrics are needed for a reliable diagnosis of DED.
8,2,Currently there is no single test to diagnose SS-associated DED.
9,2,"Although there are several approaches to treatment, none are specific for DED in SS, and, generally, several methods need to be tried to find what works best for a specific patient."
10,2,"Treatment for DED continues to be an unmet medical need, especially given that DED in SS is typically on the severe end of the spectrum."
11,3,"Sjogren's syndrome (SS) is a systemic autoimmune disease that primarily affects the exocrine glands, resulting in dryness of the eyes and mouth due to lymphocytic infiltration of the salivary and lacrimal glands along with arthritis, kidney, liver, and lung involvement, chronic fatigue, musculoskeletal pain, vasculitis, and so on."
12,3,Considerable advance has been made for the classification and treatment of primary SS in the past few years.
13,3,This article reviews the recent classification criteria for primary SS and briefly discusses the conventional and novel therapies of the disease.
14,4,"Sjgren's syndrome is a lymphoproliferative disease with autoimmune features characterized by mononuclear cell infiltration of exocrine glands, notably the lacrimal and salivary glands."
15,4,"These lymphoid infiltrations lead to dryness of the eyes (keratoconjunctivitis sicca), dryness of the mouth (xerostomia), and, frequently, dryness of other surfaces connected to exocrine glands."
16,4,Sjgren's syndrome is associated with the production of autoantibodies because B-cell activation is a consistent immunoregulatory abnormality.
