,File Name with extension,File Name,Term,Span,Class
1563,sentence_2420,sentence_2420.txt,xerophthalmia,"( 80,93)",Signs and Symptoms
448,sentence_1947,sentence_1947.txt,dry eye,"( 131,138)",Signs and Symptoms
1558,sentence_2416,sentence_2416.txt,positive Schirmer test,"( 61,83)",Diagnostic Tests
330,sentence_1690,sentence_1690.txt,lymphoma,"( 132,140)",Associated Conditions
1161,sentence_2127,sentence_2127.txt,dryness,"( 126,133)",Signs and Symptoms
1580,sentence_2436,sentence_2436.txt,woman,"( 14,19)",Risk Factors
871,sentence_870,sentence_870.txt,fatigue,"( 70,77)",Signs and Symptoms
686,sentence_550,sentence_550.txt,parotitis,"( 28,37)",Signs and Symptoms
1284,sentence_2241,sentence_2241.txt,lip biopsy,"( 131,141)",Diagnostic Tests
1283,sentence_2241,sentence_2241.txt,positive Schirmer's test,"( 56,80)",Diagnostic Tests
341,sentence_1713,sentence_1713.txt,lymphoma,"( 31,39)",Associated Conditions
1077,sentence_2093,sentence_2093.txt,xerostomia,"( 24,34)",Signs and Symptoms
827,sentence_764,sentence_764.txt,systemic lupus erythematosus,"( 184,212)",Associated Conditions
1119,sentence_2114,sentence_2114.txt,scintigraphy,"( 90,102)",Diagnostic Tests
293,sentence_1638,sentence_1638.txt,oral,"( 27,31)",Signs and Symptoms
787,sentence_688,sentence_688.txt,dry eyes,"( 101,109)",Signs and Symptoms
638,sentence_480,sentence_480.txt,IgG4+ plasma,"( 93,105)",Diagnostic Tests
681,sentence_537,sentence_537.txt,ILD,"( 95,98)",Associated Conditions
765,sentence_670,sentence_670.txt,Schirmer 1 test,"( 31,46)",Diagnostic Tests
893,sentence_909,sentence_909.txt,ultrasonographically,"( 26,46)",Diagnostic Tests
791,sentence_688,sentence_688.txt,parotid gland enlargement,"( 334,359)",Signs and Symptoms
438,sentence_1937,sentence_1937.txt,ultrasonography,"( 58,73)",Diagnostic Tests
801,sentence_70,sentence_70.txt,xerostomia,"( 65,75)",Signs and Symptoms
1606,sentence_2446,sentence_2446.txt,sialadenosis,"( 118,130)",Signs and Symptoms
523,sentence_276,sentence_276.txt,parotitis.,"( 94,104)",Signs and Symptoms
474,sentence_21,sentence_21.txt,Salivary gland biopsies,"( 0,23)",Diagnostic Tests
1231,sentence_2196,sentence_2196.txt,xerostomia,"( 87,97)",Signs and Symptoms
126,sentence_1227,sentence_1227.txt,parotitis,"( 16,25)",Signs and Symptoms
675,sentence_528,sentence_528.txt,high-resolution computed tomography,"( 116,152)",Diagnostic Tests
1134,sentence_2118,sentence_2118.txt,anti-La/SSB,"( 228,240)",Diagnostic Tests
1631,sentence_2464,sentence_2464.txt,sialectasis imaging,"( 77,96)",Diagnostic Tests
1395,sentence_2320,sentence_2320.txt,periungual erythema,"( 48,67)",Signs and Symptoms
853,sentence_817,sentence_817.txt,hypokalemia,"( 33,44)",Associated Conditions
254,sentence_1519,sentence_1519.txt,optical coherence tomography,"( 76,104)",Diagnostic Tests
1836,sentence_2687,sentence_2687.txt,B cell lymphoma,"( 171,186)",Associated Conditions
1167,sentence_2128,sentence_2128.txt,quality of life,"( 138,153)",Signs and Symptoms
601,sentence_378,sentence_378.txt,mucosal dryness,"( 40,55)",Signs and Symptoms
1102,sentence_2109,sentence_2109.txt,ESR,"( 77,80)",Signs and Symptoms
1461,sentence_2359,sentence_2359.txt,dorsal column involvement,"( 26,51)",Associated Conditions
1675,sentence_2490,sentence_2490.txt,sarcoidosis,"( 92,103)",Associated Conditions
118,sentence_1197,sentence_1197.txt,SLE,"( 88,91)",Associated Conditions
970,sentence_2027,sentence_2027.txt,bronchiectasis,"( 13,27)",Associated Conditions
1107,sentence_2110,sentence_2110.txt,ESSDAI value,"( 25,37)",Diagnostic Tests
650,sentence_491,sentence_491.txt,salivary gland ultrasonography.,"( 219,250)",Diagnostic Tests
843,sentence_79,sentence_79.txt,La-SSB,"( 91,97)",Diagnostic Tests
800,sentence_7,sentence_7.txt,DED.,"( 76,80)",Signs and Symptoms
1087,sentence_2101,sentence_2101.txt,biopsies,"( 120,128)",Diagnostic Tests
9,sentence_1006,sentence_1006.txt,salivary gland biopsies.,"( 191,215)",Diagnostic Tests
1293,sentence_2252,sentence_2252.txt,salivary gland ultrasonography,"( 33,63)",Diagnostic Tests
914,sentence_980,sentence_980.txt,dry eye,"( 140,147)",Signs and Symptoms
1468,sentence_2364,sentence_2364.txt,Schimer's test,"( 38,52)",Diagnostic Tests
506,sentence_261,sentence_261.txt,dryness,"( 166,173)",Signs and Symptoms
1554,sentence_2411,sentence_2411.txt,asthma.,"( 22,29)",Signs and Symptoms
1462,sentence_2360,sentence_2360.txt,sarcoidosis,"( 123,134)",Associated Conditions
521,sentence_274,sentence_274.txt,sicca,"( 8,13)",Signs and Symptoms
309,sentence_1665,sentence_1665.txt,SLE,"( 91,94)",Associated Conditions
347,sentence_1718,sentence_1718.txt,lymphoma,"( 73,81)",Associated Conditions
1069,sentence_2091,sentence_2091.txt,Hypokalemic Periodic Paralysis,"( 0,30)",Associated Conditions
810,sentence_720,sentence_720.txt,DED,"( 0,3)",Signs and Symptoms
1312,sentence_2263,sentence_2263.txt,La/SSB,"( 43,49)",Diagnostic Tests
